Co_fermentations;Yeast_level;sp1;sp2st1;sp2st2;sp2st3;sp3;sp4;sp5;sp6;sp7;sp8;Yield_Average;Yield_SD;Yield_Rank;Yeast_Average;Yeast_SD;Bac_Average;Bac_SD;Yeast_RA_Av;Yeast_RA_SD; Bac_RA_Av;Bac_RA_SD;rank_yeastAV;rank_bacAV;rank_yeastRA;rank_bacRA
sp1-sp4-sp6;100;1;0;0;0;0;1;0;1;0;0;89.27;2.18;50;11752222.22;1697207.845;144222.2222;68562.66846;98.81554901;0.497666573;1.184450985;0.497666573;86;52;65;57
sp2st2-sp1-sp4-sp5-sp3-sp6;100;1;0;1;0;1;1;1;1;0;0;91.17;2.67;67;8193777.778;940188.5285;70444.44444;12139.11136;99.14584129;0.112436322;0.854158714;0.112436322;16;23.5;77;22
sp2st2-sp1-sp5-sp3;100;1;0;1;0;1;0;1;0;0;0;89.79;1.39;55;10634666.67;1577330.046;70444.44444;29218.63096;99.37135905;0.19658947;0.628640948;0.19658947;53;23.5;90;33
sp2st2-sp1-sp5-sp3-sp6;100;1;0;1;0;1;0;1;1;0;0;86.06;1.99;41;8505333.333;660670.5909;107555.5556;74999.9177;98.78450493;0.771918836;1.215495074;0.771918836;18;42;64;73
sp2st2-sp1-sp3-sp6;100;1;0;1;0;1;0;0;1;0;0;83.89;0;34;9130444.444;1360322.438;85777.77778;52012.34421;99.13194062;0.50013034;0.868059378;0.50013034;20;32;75;59
sp2st2-sp4-sp5;100;0;0;1;0;0;1;1;0;0;0;87.63;1.21;43;10729333.33;1663195.318;254666.6667;83335.99996;97.61147798;0.880718667;2.388522024;0.880718667;59;73;40;75
sp2st2-sp4-sp5-sp3;100;0;0;1;0;1;1;1;0;0;0;92.32;0;82;11209555.56;1309683.177;193777.7778;93527.31165;98.32240233;0.77231444;1.677597668;0.77231444;69;61;53;74
sp2st2-sp4-sp5-sp3-sp6;100;0;0;1;0;1;1;1;1;0;0;50.75;5.36;15;9604444.444;1167351.714;147777.7778;67264.72486;98.54523375;0.577083126;1.454766248;0.577083126;24;53;57;62
sp2st2-sp4-sp3;100;0;0;1;0;1;1;0;0;0;0;96;119.16;99;12225333.33;1183227.35;177777.7778;52646.50341;98.59660123;0.309124393;1.40339877;0.309124393;94;57;60;48
sp2st2-sp4-sp6;100;0;0;1;0;1;0;0;1;0;0;89.24;2.23;49;10270888.89;1510254.365;219777.7778;140053.2527;97.90662079;1.410714624;2.093379211;1.410714624;48;66;45;88
sp2st2-sp5-sp3;100;0;0;1;0;1;0;1;0;0;0;91.44;2.41;71;9593111.111;2117669.532;203111.1111;105763.3043;98.0599162;0.58747748;1.940083798;0.58747748;23;63;47;63
sp2st2-sp5-sp3-sp6;100;0;0;1;0;1;0;1;1;0;0;92.89;1.04;87;11874222.22;1796593.512;84222.22222;10945.43143;99.26737252;0.201859939;0.732627478;0.201859939;90;30;84;35
sp2st2-sp5-sp6;100;0;0;1;0;0;0;1;1;0;0;62.04;1.33;17;8282222.222;1013042.258;110666.6667;51522.01974;98.64830035;0.714831034;1.351699652;0.714831034;17;43;61;71
sp2st2-sp5-sp6;100;0;0;1;0;0;0;1;1;0;0;90.6;1.21;63;13123777.78;1199778.045;113111.1111;40931.13759;99.16801551;0.241678103;0.83198449;0.241678103;97;44;80;41
sp1-sp4;100;1;0;0;0;0;1;0;0;0;0;88.66;1.38;46;11434222.22;1265211.484;197777.7778;103769.4501;98.3598249;0.737725429;1.6401751;0.737725429;73;62;55;72
sp1-sp3;100;1;0;0;0;1;0;0;0;0;0;85.91;2.88;39;12816666.67;1702225.036;56000;9443.790827;99.56625716;0.032856483;0.433742841;0.032856483;96;20;95;17
sp1-sp6;100;1;0;0;0;0;0;0;1;0;0;91.41;2.26;70;9956222.222;1170049.107;55111.11111;28763.83188;99.46013863;0.266615736;0.53986137;0.266615736;37;19;93;46
sp1-sp4-sp5;100;1;0;0;0;0;1;1;0;0;0;91.55;1.72;75;11430222.22;1425603.896;155333.3333;81065.13156;98.70833517;0.548765761;1.291664829;0.548765761;72;55;62;61
sp1-sp4-sp3;100;1;0;0;0;1;1;0;0;0;0;60.49;8.85;16;12015333.33;1034753.576;139555.5556;41790.77812;98.87395186;0.26485453;1.12604814;0.26485453;91;51;66;45
sp1-sp4-sp6;100;1;0;0;0;0;1;0;1;0;0;98.38;1.64;98;13247777.78;829628.4458;192666.6667;36709.06639;98.57718329;0.199520708;1.422816705;0.199520708;98;60;59;34
sp1-sp4-sp5-sp3;100;1;0;0;0;1;1;1;0;0;0;67.2;1.62;18;11577555.56;1666444.904;100444.4444;31469.36586;99.13471142;0.234639613;0.865288578;0.234639613;79;39;76;40
sp1-sp4-sp5-sp6;100;1;0;0;0;0;1;1;1;0;0;96.6;2.1;97;11704000;2842837.237;131777.7778;49418.34517;98.91976137;0.222278829;1.080238631;0.222278829;84;50;69;37
sp1-sp4-sp3-sp6;100;1;0;0;0;1;1;0;1;0;0;96.3;1.76;96;9897555.556;1364304.119;118444.4444;87154.75097;98.90462899;0.689591113;1.095371008;0.689591113;33;47;68;69
sp1-sp4-sp5-sp3-sp6;100;1;0;0;0;1;1;1;1;0;0;90.53;3.61;62;11518888.89;325261.5282;205111.1111;16567.11006;98.25123854;0.123371168;1.748761458;0.123371168;77;64;52;23
sp1-sp5-sp3;100;1;0;0;0;1;0;1;0;0;0;95.45;0.77;95;12051777.78;855580.6057;73111.11111;14322.56271;99.39313005;0.130274909;0.606869946;0.130274909;92;26;91;25
sp1-sp5-sp6;100;1;0;0;0;0;0;1;1;0;0;92.65;2.71;85;11843111.11;367506.2442;85333.33333;16027.75371;99.28226136;0.144133953;0.717738635;0.144133953;87;31;87;26
sp1-sp5-sp3-sp6;100;1;0;0;0;1;0;1;1;0;0;91.72;3.6;77;11870444.44;1166715.216;59111.11111;15798.10897;99.50618483;0.125872509;0.493815167;0.125872509;89;21;94;24
sp1-sp3-sp6;100;1;0;0;0;1;0;0;1;0;0;94.06;1.55;93;11592888.89;2411957.271;44444.44444;18429.71299;99.63459901;0.079108542;0.365400991;0.079108542;81;17;96;21
sp4-sp5;100;0;0;0;0;0;1;1;0;0;0;80.2;2.52;28;10536444.44;1238548.533;546000;315811.4768;94.99518298;3.119865652;5.004817016;3.119865652;52;85;29;94
sp4-sp3;100;0;0;0;0;1;1;0;0;0;0;82.6;2.75;32;7752000;1225158.977;543333.3333;173139.2075;93.40064477;1.843163581;6.599355225;1.843163581;15;84;27;91
sp4-sp6;100;0;0;0;0;0;1;0;1;0;0;81.71;2.95;30;11506000;1586458.623;381555.5556;134268.204;96.80461065;1.104756176;3.19538935;1.104756176;76;82;33;80
sp4-sp5-sp3;100;0;0;0;0;1;1;1;0;0;0;76.85;1.6;23;11541555.56;2068951.736;602888.8889;230272.8387;95.13559112;1.24870887;4.864408876;1.24870887;78;88;30;85
sp4-sp5-sp6;100;0;0;0;0;0;1;1;1;0;0;82.57;3.51;31;10677777.78;1327489.676;318666.6667;85543.14484;97.15608783;0.424568462;2.843912175;0.424568462;57;80;34;52
sp4-sp3-sp6;100;0;0;0;0;1;1;0;1;0;0;72.4;4.88;21;10652888.89;766010.2182;281555.5556;79744.65422;97.45970245;0.605740681;2.540297552;0.605740681;55;76;39;64
sp4-sp5-sp3-sp6;100;0;0;0;0;1;1;1;1;0;0;83.06;1.87;33;9904666.667;1186795.623;272666.6667;108931.5109;97.35299435;1.01566526;2.647005655;1.01566526;34;75;36;77
sp5-sp3;100;0;0;0;0;1;0;1;0;0;0;79.91;1.79;26;10216666.67;1213143.331;130444.4444;34029.76185;98.76003984;0.188554441;1.239960158;0.188554441;45;49;63;32
sp5-sp6;100;0;0;0;0;0;0;1;1;0;0;74.18;2.77;22;10138444.44;568925.7801;150000;52699.00554;98.5496041;0.504441307;1.450395896;0.504441307;41;54;58;60
sp5-sp3-sp6;100;0;0;0;0;1;0;1;1;0;0;80.16;2.97;27;9871777.778;2302594.5;72444.44444;34488.14432;99.27040006;0.25578673;0.72959994;0.25578673;30;25;85;44
sp3-sp6;100;0;0;0;0;1;0;0;1;0;0;78.27;0.59;24;9657111.111;1042165.03;82888.88889;21618.4649;99.16012263;0.163601441;0.839877373;0.163601441;25;29;79;29
