Co_fermentations;Yeast_level;sp1;sp2st1;sp2st2;sp2st3;sp3;sp4;sp5;sp6;sp7;sp8;Yield_Average;Yield_SD;Yield_Rank;Yeast_Average;Yeast_SD;Bac_Average;Bac_SD;Yeast_RA_Av;Yeast_RA_SD; Bac_RA_Av;Bac_RA_SD;rank_yeastAV;rank_bacAV;rank_yeastRA;rank_bacRA
yeast;100;0;0;0;0;0;0;0;0;0;0;89.76;0.23;54;14611944.44;1401090.778;0;0;100;0;0;0;99;15;99;15
sp2st1;100;0;1;0;0;0;0;0;0;0;0;87.46;1.68;42;11491333.33;1036925.048;1173666.667;543250.914;90.56316304;4.516460944;9.43683696;4.516460944;75;94;21;96
sp2st2;100;0;0;1;0;0;0;0;0;0;0;91.38;3.04;69;11861666.67;759852.7635;910666.6667;369700.1788;92.78803523;3.017141571;7.211964769;3.017141571;88;90;26;93
sp1;100;1;0;0;0;0;0;0;0;0;0;92.79;1.35;86;12465333.33;1285254.147;976000;151290.0085;92.71382785;1.013180647;7.28617215;1.013180647;95;91;25;76
sp5;100;0;0;0;0;0;0;1;0;0;0;90.35;0.15;60;9888000;1569242.492;1299000;225877.5479;87.97116597;3.58501842;12.02883403;3.58501842;32;95;19;95
sp2st1-sp1;100;1;1;0;0;0;0;0;0;0;0;69.73;3.7;19;9921666.667;768852.1025;1161000;260853.7266;89.64031059;1.482688434;10.35968941;1.482688434;35;93;20;89
sp2st2-sp1;100;1;0;1;0;0;0;0;0;0;0;89.31;0.48;51;10639333.33;854800.6915;2085000;703412.1599;83.63571091;5.319542848;16.36428909;5.319542848;54;96;18;97
sp2st2-sp1-sp5;100;1;0;1;0;0;0;1;0;0;0;91.49;0;73;10474333.33;542918.2464;2779666.667;1136566.858;79.60504455;6.327694142;20.39495545;6.327694142;50;98;16;98
sp2st1-sp1-sp5;100;1;1;0;0;0;0;1;0;0;0;71.12;2.54;20;9821666.667;1089682.013;2109666.667;1202710.642;82.42412069;10.00433392;17.57587931;10.00433392;29;97;17;99
sp2st3;100;0;0;0;1;0;0;0;0;0;0;85.1;0.82;36;9703666.667;146256.2439;590666.6667;135632.6739;90.9;0.030223548;9.10128164;0.030223548;27;87;22;16
sp7;100;0;0;0;0;0;0;0;0;1;0;85.86;0.89;38;10088000;403644.2328;850000;104124.925;94.28647197;1.221329833;5.71352803;1.221329833;40;89;28;84
sp8;100;0;0;0;0;0;0;0;0;0;1;83.92;0.53;35;9693000;606867.9153;5622000;458323.7575;92.19716485;1.171388196;7.802835148;1.171388196;26;99;24;82
sp3;100;0;0;0;0;1;0;0;0;0;0;89.6;1.65;53;11104000;467527.5393;1051000;82101.56312;63.31339657;1.026197795;36.68660343;1.026197795;66;92;15;78
sp6;100;0;0;0;0;0;0;0;1;0;0;88.58;1.1;45;9769666.667;1005552.032;422666.6667;24073.96011;91.34814882;0.672548198;8.651851182;0.672548198;28;83;23;67
sp4;100;0;0;0;0;0;1;0;0;0;0;91.71;1.46;76;11437333.33;1924506.363;570888.8889;300557.671;95.56371435;1.718764441;4.436285646;1.718764441;74;86;31;90
sp2st1-sp4;100;0;1;0;0;0;1;0;0;0;0;90.03;1.02;56;11103777.78;1723913.664;266000;111204.8493;97.77005371;0.698355489;2.229946288;0.698355489;65;74;41;70
sp2st1-sp3;100;0;1;0;0;1;0;0;0;0;0;90.52;0.63;61;11368444.44;1331163.16;90000;41497.88036;99.25012267;0.297564099;0.749877328;0.297564099;70;36;83;47
sp2st1-sp6;100;1;1;0;0;0;0;0;1;0;0;94.03;0.51;92;11629111.11;1703698.316;88444.44444;35466.55528;99.27722579;0.21737194;0.722774211;0.21737194;83;34;86;36
sp2st1-sp1-sp3;100;1;1;0;0;1;0;0;0;0;0;85.58;2.02;37;10734000;1354475.49;75777.77778;22206.66122;99.307222;0.154814069;0.692777999;0.154814069;60;27;89;27
sp2st1-sp1-sp6;100;1;1;0;0;0;0;0;1;0;0;89.13;0.32;48;10208444.44;1776282.788;184000;86955.07567;98.33793128;0.610559951;1.662068723;0.610559951;44;58;54;65
sp2st1-sp1-sp4;100;1;1;0;0;0;1;0;0;0;0;90.1;2.33;58;9936888.889;1347161.222;287555.5556;138200.427;97.33409421;1.088965324;2.665905792;1.088965324;36;78;35;79
sp2st1-sp1-sp4-sp5;100;1;1;0;0;0;1;1;0;0;0;91.95;1.77;79;10187333.33;1900076.334;234888.8889;80543.21745;97.80739659;0.492260136;2.192603414;0.492260136;43;69.5;43;56
sp2st1-sp1-sp5-sp3;100;1;1;0;0;1;0;1;0;0;0;81.33;1.38;29;11623555.56;1638181.135;240666.6667;148701.0424;98.10412528;1.113940694;1.895874722;1.113940694;82;71;48;81
sp2st1-sp1-sp3-sp6;100;1;1;0;0;1;0;0;1;0;0;92.12;2.2;81;10898000;1126237.525;113555.5556;30289.1416;98.9874046;0.179778361;1.012595399;0.179778361;61;45;73;30
sp2st1-sp1-sp4-sp6;100;1;1;0;0;0;1;0;1;0;0;79.88;4.34;25;12211555.56;1932232.662;19777.77778;6308.919807;99.84036187;0.03749915;0.159638135;0.03749915;93;16;98;18
sp2st1-sp1-sp5-sp6;100;1;1;0;0;0;0;1;1;0;0;91.27;0.77;68;9174222.222;877590.3597;101111.1111;27975.29775;98.92694096;0.222823179;1.073059042;0.222823179;21;40;71;38
sp2st1-sp1-sp3-sp6;100;1;1;0;0;1;0;0;1;0;0;92.11;3.25;80;10933111.11;2231822.529;65333.33333;9843.215373;99.39494001;0.06756626;0.605059986;0.06756626;62;22;92;20
sp2st1-sp1-sp5-sp3-sp6;100;1;1;0;0;1;0;1;1;0;0;93.95;1.07;91;10255777.78;627485.3596;87111.11111;27847.91146;99.17110892;0.230815266;0.828891083;0.230815266;47;33;81;39
sp2st1-sp1-sp4-sp5-sp3-sp6;100;1;1;0;0;1;1;1;1;0;0;92.58;1.55;84;10070666.67;663779.7493;157555.5556;56540.60051;98.48653564;0.486123431;1.513464356;0.486123431;39;56;56;54
sp2st1-sp4-sp5;100;1;1;0;0;0;1;1;0;0;0;93.89;0.85;90;11586222.22;2440783.865;254000;89642.913;97.92872177;0.356852997;2.071278228;0.356852997;80;72;46;51
sp2st1-sp4-sp5-sp3;100;0;1;0;0;1;1;1;0;0;0;93.72;1.31;89;9561333.333;1265680.435;184888.8889;68052.99315;98.15989772;0.490745449;1.84010228;0.490745449;22;59;50;55
sp2st1-sp4-sp5-sp3-sp6;100;0;1;0;0;1;1;1;1;0;0;92.51;4.31;83;8550888.889;753133.5691;319555.5556;200086.1543;96.45351085;2.185286431;3.546489152;2.185286431;19;81;32;92
sp2st1-sp4-sp3;100;0;1;0;0;1;1;0;0;0;0;94.82;2.28;94;11174666.67;1842765.153;314000;155818.5079;97.35956846;1.206474756;2.640431537;1.206474756;67;79;37;83
sp2st1-sp4-sp6;100;0;1;0;0;0;1;0;1;0;0;90.08;1.75;57;10222000;1362541.851;283111.1111;98622.11206;97.37785341;0.65016049;2.622146594;0.65016049;46;77;38;66
sp2st1-sp5-sp3;100;0;1;0;0;1;0;1;0;0;0;89.51;2.71;52;10714888.89;1258346.985;119555.5556;45006.44673;98.92231077;0.329332796;1.077689234;0.329332796;58;48;70;50
sp2st1-sp5-sp3-sp6;100;0;1;0;0;1;0;1;1;0;0;93.69;2.87;88;9879111.111;1600634.072;88888.88889;41648.73688;99.14910623;0.251950475;0.850893771;0.251950475;31;35;78;42
sp2st1-sp5-sp6;100;0;1;0;0;0;0;1;1;0;0;85.96;8.11;40;10491777.78;1580984.816;94444.44444;10389.92865;99.10200141;0.042703662;0.897998587;0.042703662;51;38;74;19
sp2st2-sp4;100;0;0;1;0;0;1;0;0;0;0;88.47;1.18;44;10160222.22;1434642.744;234888.8889;91849.04416;97.79943708;0.682994558;2.200562924;0.682994558;42;69.5;42;68
sp2st2-sp3;100;0;0;1;0;1;0;0;0;0;0;88.91;0.97;47;10042222.22;1022608.478;106444.4444;59085.20736;98.97578088;0.499777456;1.024219116;0.499777456;38;41;72;58
sp2st2-sp6;100;0;0;1;0;0;0;0;1;0;0;90.21;2.16;59;11412888.89;1572866.723;90222.22222;30425.78504;99.23821361;0.180107664;0.76178639;0.180107664;71;37;82;31
sp2st2-sp1-sp3;100;1;0;1;0;1;0;0;0;0;0;90.92;1.28;65;11732666.67;2252460.252;46000;24043.17105;99.63772262;0.159886819;0.362277384;0.159886819;85;18;97;28
sp2st2-sp1-sp6;100;1;0;1;0;0;0;0;1;0;0;91.84;2.88;78;11202000;1699508.513;81555.55556;36774.92436;99.30575384;0.253312548;0.694246162;0.253312548;68;28;88;43
sp2st2-sp1-sp4;100;1;0;1;0;0;1;0;0;0;0;91.14;0.93;66;11050888.89;1558917.795;220000;72614.66029;98.10510675;0.426562901;1.894893246;0.426562901;63;67;49;53
sp2st2-sp1-sp4-sp5;100;1;0;1;0;0;1;1;0;0;0;91.47;1.67;72;10674888.89;2303749.558;222444.4444;123379.9712;97.84673833;1.378053726;2.153261669;1.378053726;56;68;44;87
sp2st2-sp1-sp4-sp5-sp3;100;1;0;1;0;1;1;1;0;0;0;91.5;0.33;74;10340666.67;1828777.612;205555.5556;168651.5877;98.21011668;1.275281829;1.789883315;1.275281829;49;65;51;86
sp2st2-sp1-sp3-sp6;100;1;0;1;0;1;0;0;1;0;0;90.8;2.03;64;11086444.44;2547859.659;114444.4444;3861.810488;98.90358913;0.329116102;1.096410867;0.329116102;64;46;67;49
